,age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
42,60,blue-collar,married,secondary,unknown,5,may,22,1,unknown,no
43,54,retired,married,secondary,unknown,5,may,643,1,unknown,no
44,58,retired,married,secondary,unknown,5,may,616,1,unknown,no
45,36,admin.,single,primary,unknown,5,may,242,1,unknown,no
46,58,self-employed,married,tertiary,unknown,5,may,355,1,unknown,no
47,44,technician,married,secondary,unknown,5,may,225,2,unknown,no
48,55,technician,divorced,secondary,unknown,5,may,160,1,unknown,no
49,29,management,single,tertiary,unknown,5,may,363,1,unknown,no
50,54,blue-collar,married,secondary,unknown,5,may,266,1,unknown,no
51,48,management,divorced,tertiary,unknown,5,may,253,1,unknown,no
52,32,management,married,tertiary,unknown,5,may,179,1,unknown,no
53,42,admin.,single,secondary,unknown,5,may,643,1,unknown,no
54,24,technician,single,secondary,unknown,5,may,145,1,unknown,no
55,38,entrepreneur,single,tertiary,unknown,5,may,174,1,unknown,no
56,38,management,single,tertiary,unknown,5,may,104,1,unknown,no
57,47,blue-collar,married,secondary,unknown,5,may,13,1,unknown,no
58,40,blue-collar,single,secondary,unknown,5,may,185,1,unknown,no
59,46,services,married,primary,unknown,5,may,643,1,unknown,no
60,32,admin.,married,tertiary,unknown,5,may,138,1,unknown,no
61,53,technician,divorced,secondary,unknown,5,may,643,1,unknown,no
62,57,blue-collar,married,primary,unknown,5,may,164,1,unknown,no
63,33,services,married,secondary,unknown,5,may,391,1,unknown,no
64,49,blue-collar,married,secondary,unknown,5,may,357,1,unknown,no
65,51,management,married,tertiary,unknown,5,may,91,1,unknown,no
66,60,retired,married,tertiary,unknown,5,may,528,1,unknown,no
67,59,management,divorced,tertiary,unknown,5,may,273,1,unknown,no
68,55,technician,married,secondary,unknown,5,may,158,2,unknown,no
69,35,blue-collar,single,secondary,unknown,5,may,177,1,unknown,no
70,57,blue-collar,married,secondary,unknown,5,may,258,1,unknown,no
71,31,services,married,secondary,unknown,5,may,172,1,unknown,no
72,54,management,married,secondary,unknown,5,may,154,1,unknown,no
73,55,blue-collar,married,primary,unknown,5,may,291,1,unknown,no
74,43,technician,married,secondary,unknown,5,may,181,1,unknown,no
75,53,technician,married,secondary,unknown,5,may,176,1,unknown,no
76,44,blue-collar,married,secondary,unknown,5,may,211,1,unknown,no
77,55,services,divorced,secondary,unknown,5,may,349,1,unknown,no
78,49,services,divorced,secondary,unknown,5,may,272,1,unknown,no
79,55,services,divorced,secondary,unknown,5,may,208,1,unknown,no
80,45,admin.,single,secondary,unknown,5,may,193,1,unknown,no
81,47,services,divorced,secondary,unknown,5,may,212,1,unknown,no
82,42,technician,single,secondary,unknown,5,may,20,1,unknown,no
83,59,admin.,married,secondary,unknown,5,may,643,1,unknown,yes
84,46,self-employed,married,tertiary,unknown,5,may,246,1,unknown,no
85,51,blue-collar,married,primary,unknown,5,may,529,2,unknown,no
86,56,admin.,married,secondary,unknown,5,may,643,1,unknown,yes
87,41,technician,married,secondary,unknown,5,may,643,1,unknown,yes
88,46,management,divorced,secondary,unknown,5,may,188,2,unknown,no
89,57,retired,married,secondary,unknown,5,may,180,2,unknown,no
90,42,management,single,secondary,unknown,5,may,48,1,unknown,no
91,30,technician,married,secondary,unknown,5,may,213,2,unknown,no
92,60,admin.,married,secondary,unknown,5,may,583,1,unknown,no
93,60,blue-collar,married,secondary,unknown,5,may,221,1,unknown,no
94,57,entrepreneur,divorced,secondary,unknown,5,may,173,1,unknown,no
95,36,management,married,tertiary,unknown,5,may,426,1,unknown,no
96,55,blue-collar,married,secondary,unknown,5,may,287,1,unknown,no
97,60,retired,married,tertiary,unknown,5,may,101,1,unknown,no
98,39,technician,married,secondary,unknown,5,may,203,1,unknown,no
99,46,management,married,tertiary,unknown,5,may,197,1,unknown,no
100,44,blue-collar,married,secondary,unknown,5,may,257,1,unknown,no
101,53,blue-collar,married,primary,unknown,5,may,124,1,unknown,no
102,52,blue-collar,married,primary,unknown,5,may,229,1,unknown,no
103,59,blue-collar,married,primary,unknown,5,may,55,3,unknown,no
104,27,technician,single,tertiary,unknown,5,may,400,1,unknown,no
105,44,blue-collar,married,secondary,unknown,5,may,197,1,unknown,no
106,47,technician,married,tertiary,unknown,5,may,190,1,unknown,no
107,34,admin.,married,secondary,unknown,5,may,21,1,unknown,no
108,59,retired,single,secondary,unknown,5,may,514,1,unknown,no
109,45,management,married,tertiary,unknown,5,may,643,2,unknown,no
110,29,services,divorced,secondary,unknown,5,may,194,1,unknown,no
111,46,technician,divorced,secondary,unknown,5,may,144,1,unknown,no
112,56,self-employed,married,primary,unknown,5,may,212,2,unknown,no
113,36,blue-collar,married,primary,unknown,5,may,286,1,unknown,no
114,59,retired,divorced,primary,unknown,5,may,107,1,unknown,no
115,44,blue-collar,married,secondary,unknown,5,may,247,2,unknown,no
116,41,admin.,married,secondary,unknown,5,may,518,1,unknown,no
117,33,management,single,tertiary,unknown,5,may,364,1,unknown,no
118,59,management,divorced,tertiary,unknown,5,may,178,1,unknown,no
119,57,technician,married,primary,unknown,5,may,98,1,unknown,no
120,56,technician,divorced,secondary,unknown,5,may,439,1,unknown,no
121,51,blue-collar,married,secondary,unknown,5,may,79,1,unknown,no
122,34,admin.,married,secondary,unknown,5,may,120,3,unknown,no
123,43,services,married,secondary,unknown,5,may,127,2,unknown,no
124,52,technician,married,tertiary,unknown,5,may,175,1,unknown,no
125,33,technician,single,secondary,unknown,5,may,262,2,unknown,no
126,29,admin.,single,secondary,unknown,5,may,61,1,unknown,no
127,34,services,married,secondary,unknown,5,may,78,1,unknown,no
128,31,blue-collar,married,secondary,unknown,5,may,143,1,unknown,no
129,55,services,married,secondary,unknown,5,may,579,1,unknown,yes
130,55,management,married,secondary,unknown,5,may,643,1,unknown,no
131,32,admin.,single,secondary,unknown,5,may,345,1,unknown,no
132,38,technician,single,secondary,unknown,5,may,185,1,unknown,no
133,55,admin.,single,secondary,unknown,5,may,100,2,unknown,no
134,28,unemployed,single,tertiary,unknown,5,may,125,2,unknown,no
135,23,blue-collar,married,secondary,unknown,5,may,193,1,unknown,no
136,32,technician,single,secondary,unknown,5,may,136,1,unknown,no
137,43,services,single,secondary,unknown,5,may,73,1,unknown,no
138,32,blue-collar,married,secondary,unknown,5,may,528,1,unknown,no
139,46,blue-collar,married,secondary,unknown,5,may,541,1,unknown,no
140,53,housemaid,divorced,primary,unknown,5,may,163,1,unknown,no
141,34,self-employed,single,secondary,unknown,5,may,301,1,unknown,no
142,57,unemployed,married,tertiary,unknown,5,may,46,1,unknown,no
143,37,blue-collar,married,secondary,unknown,5,may,204,1,unknown,no
144,59,blue-collar,married,secondary,unknown,5,may,98,1,unknown,no
145,33,services,married,secondary,unknown,5,may,71,1,unknown,no
146,56,blue-collar,divorced,primary,unknown,5,may,157,2,unknown,no
147,48,unemployed,married,secondary,unknown,5,may,243,1,unknown,no
148,43,services,married,primary,unknown,5,may,186,2,unknown,no
149,54,blue-collar,married,primary,unknown,5,may,579,2,unknown,no
150,51,blue-collar,married,secondary,unknown,5,may,163,2,unknown,no
151,26,student,single,secondary,unknown,5,may,610,2,unknown,no
152,40,management,married,tertiary,unknown,5,may,643,1,unknown,no
153,39,management,married,secondary,unknown,5,may,85,1,unknown,no
154,50,technician,married,primary,unknown,5,may,114,2,unknown,no
155,41,services,married,secondary,unknown,5,may,114,2,unknown,no
156,51,blue-collar,married,secondary,unknown,5,may,57,1,unknown,no
157,60,retired,divorced,secondary,unknown,5,may,238,1,unknown,no
158,52,blue-collar,married,secondary,unknown,5,may,93,3,unknown,no
159,48,blue-collar,married,secondary,unknown,5,may,128,2,unknown,no
160,48,services,married,secondary,unknown,5,may,107,1,unknown,no
161,39,technician,single,tertiary,unknown,5,may,181,1,unknown,no
162,47,services,single,secondary,unknown,5,may,303,2,unknown,no
163,40,blue-collar,married,secondary,unknown,5,may,558,5,unknown,no
164,45,technician,married,secondary,unknown,5,may,270,1,unknown,no
165,26,admin.,single,secondary,unknown,5,may,228,1,unknown,no
166,52,management,married,tertiary,unknown,5,may,99,1,unknown,no
167,54,technician,married,secondary,unknown,5,may,240,1,unknown,no
168,54,admin.,married,tertiary,unknown,5,may,643,2,unknown,yes
169,50,blue-collar,married,primary,unknown,5,may,233,3,unknown,no
170,35,blue-collar,married,secondary,unknown,5,may,643,1,unknown,no
171,44,services,married,secondary,unknown,5,may,250,1,unknown,no
172,53,entrepreneur,married,secondary,unknown,5,may,252,1,unknown,no
173,35,retired,single,primary,unknown,5,may,138,1,unknown,no
174,60,admin.,divorced,secondary,unknown,5,may,130,1,unknown,no
175,53,admin.,divorced,secondary,unknown,5,may,412,1,unknown,no
176,48,unemployed,married,secondary,unknown,5,may,179,2,unknown,no
177,34,technician,married,secondary,unknown,5,may,19,2,unknown,no
178,54,services,married,secondary,unknown,5,may,458,2,unknown,no
179,51,management,married,secondary,unknown,5,may,643,1,unknown,no
180,31,services,married,tertiary,unknown,5,may,313,1,unknown,no
181,35,technician,divorced,secondary,unknown,5,may,643,2,unknown,no
182,35,services,married,secondary,unknown,5,may,643,1,unknown,no
183,38,technician,married,secondary,unknown,5,may,416,1,unknown,no
184,36,admin.,married,tertiary,unknown,5,may,146,2,unknown,no
185,58,retired,married,primary,unknown,5,may,167,1,unknown,no
186,40,services,divorced,secondary,unknown,5,may,315,1,unknown,no
187,54,management,married,secondary,unknown,5,may,140,1,unknown,no
188,34,blue-collar,single,secondary,unknown,5,may,346,1,unknown,no
189,31,management,single,tertiary,unknown,5,may,562,1,unknown,no
190,51,retired,married,secondary,unknown,5,may,172,1,unknown,no
191,33,management,married,tertiary,unknown,5,may,217,1,unknown,no
192,55,management,married,tertiary,unknown,5,may,142,2,unknown,no
193,42,admin.,married,secondary,unknown,5,may,67,1,unknown,no
194,34,blue-collar,married,secondary,unknown,5,may,291,1,unknown,no
195,33,blue-collar,single,secondary,unknown,5,may,309,2,unknown,no
196,38,services,married,secondary,unknown,5,may,248,1,unknown,no
197,50,technician,divorced,tertiary,unknown,5,may,98,1,unknown,no
198,43,management,married,tertiary,unknown,5,may,256,1,unknown,no
199,61,blue-collar,divorced,primary,unknown,5,may,82,2,unknown,no
200,47,admin.,married,secondary,unknown,5,may,577,1,unknown,no
201,48,self-employed,married,tertiary,unknown,5,may,286,1,unknown,no
202,44,blue-collar,married,secondary,unknown,5,may,477,1,unknown,no
203,35,student,single,secondary,unknown,5,may,611,2,unknown,no
204,35,services,married,secondary,unknown,5,may,471,1,unknown,no
205,50,services,married,secondary,unknown,5,may,381,2,unknown,no
206,41,management,married,tertiary,unknown,5,may,42,1,unknown,no
207,41,management,married,tertiary,unknown,5,may,251,1,unknown,no
208,39,services,single,secondary,unknown,5,may,408,1,unknown,no
209,42,retired,married,secondary,unknown,5,may,215,1,unknown,no
210,38,blue-collar,married,secondary,unknown,5,may,287,1,unknown,no
211,53,retired,married,secondary,unknown,5,may,216,2,unknown,no
212,59,housemaid,divorced,primary,unknown,5,may,366,2,unknown,no
213,36,services,married,secondary,unknown,5,may,210,1,unknown,no
214,54,blue-collar,married,primary,unknown,5,may,288,1,unknown,no
215,40,technician,married,tertiary,unknown,5,may,168,1,unknown,no
216,47,blue-collar,married,secondary,unknown,5,may,338,2,unknown,no
217,53,unemployed,married,secondary,unknown,5,may,410,3,unknown,no
218,46,housemaid,married,primary,unknown,5,may,177,1,unknown,no
219,39,management,married,tertiary,unknown,5,may,127,2,unknown,no
220,40,unemployed,married,secondary,unknown,5,may,357,1,unknown,no
221,28,blue-collar,married,primary,unknown,5,may,175,1,unknown,no
222,35,entrepreneur,divorced,secondary,unknown,5,may,300,1,unknown,no
223,55,retired,married,secondary,unknown,5,may,136,1,unknown,no
224,43,technician,divorced,secondary,unknown,5,may,643,1,unknown,no
225,48,blue-collar,married,primary,unknown,5,may,125,2,unknown,no
226,58,management,married,secondary,unknown,5,may,213,3,unknown,no
227,33,management,single,tertiary,unknown,5,may,27,1,unknown,no
228,36,blue-collar,married,secondary,unknown,5,may,238,2,unknown,no
229,53,services,divorced,secondary,unknown,5,may,124,1,unknown,no
230,47,blue-collar,married,primary,unknown,5,may,18,1,unknown,no
231,31,services,married,secondary,unknown,5,may,643,2,unknown,no
232,57,entrepreneur,married,secondary,unknown,5,may,643,2,unknown,no
233,53,blue-collar,married,secondary,unknown,5,may,121,1,unknown,no
234,55,blue-collar,married,primary,unknown,5,may,247,1,unknown,no
235,45,blue-collar,married,primary,unknown,5,may,40,1,unknown,no
236,53,admin.,divorced,secondary,unknown,5,may,181,2,unknown,no
237,37,blue-collar,married,primary,unknown,5,may,79,1,unknown,no
238,44,admin.,divorced,secondary,unknown,5,may,206,1,unknown,no
239,49,blue-collar,divorced,primary,unknown,5,may,389,1,unknown,no
240,46,technician,married,secondary,unknown,5,may,127,1,unknown,no
241,43,entrepreneur,married,secondary,unknown,5,may,643,1,unknown,no
242,38,admin.,married,secondary,unknown,5,may,151,1,unknown,no
243,43,technician,married,secondary,unknown,5,may,117,1,unknown,no
244,49,management,married,tertiary,unknown,5,may,232,3,unknown,no
245,42,management,married,secondary,unknown,5,may,408,2,unknown,no
246,22,blue-collar,single,secondary,unknown,5,may,179,2,unknown,no
247,40,management,married,tertiary,unknown,5,may,39,1,unknown,no
248,39,blue-collar,married,secondary,unknown,5,may,282,1,unknown,no
249,51,services,married,secondary,unknown,5,may,643,2,unknown,no
250,49,admin.,married,secondary,unknown,5,may,50,1,unknown,no
251,53,blue-collar,married,secondary,unknown,5,may,181,1,unknown,no
252,34,services,single,secondary,unknown,5,may,142,1,unknown,no
253,33,technician,divorced,secondary,unknown,5,may,227,1,unknown,no
254,50,management,single,tertiary,unknown,5,may,119,1,unknown,no
255,39,blue-collar,married,primary,unknown,5,may,361,1,unknown,no
256,59,entrepreneur,divorced,secondary,unknown,5,may,73,3,unknown,no
257,30,technician,single,secondary,unknown,5,may,67,2,unknown,no
258,36,services,married,secondary,unknown,5,may,350,1,unknown,no
259,40,blue-collar,married,secondary,unknown,5,may,332,2,unknown,no
260,53,blue-collar,married,secondary,unknown,5,may,611,2,unknown,no
261,34,management,single,tertiary,unknown,5,may,113,2,unknown,no
262,37,technician,married,secondary,unknown,5,may,132,1,unknown,no
263,42,management,divorced,tertiary,unknown,5,may,58,3,unknown,no
264,41,entrepreneur,married,primary,unknown,5,may,151,1,unknown,no
265,30,student,single,tertiary,unknown,5,may,89,2,unknown,no
266,37,management,single,tertiary,unknown,5,may,152,1,unknown,no
267,39,admin.,divorced,secondary,unknown,5,may,611,2,unknown,no
268,41,blue-collar,married,primary,unknown,5,may,110,2,unknown,no
269,40,blue-collar,married,primary,unknown,5,may,463,1,unknown,no
270,42,management,single,tertiary,unknown,5,may,562,2,unknown,yes
271,40,blue-collar,divorced,primary,unknown,5,may,643,1,unknown,no
272,57,technician,married,secondary,unknown,5,may,10,4,unknown,no
273,56,entrepreneur,divorced,secondary,unknown,5,may,118,3,unknown,no
274,37,admin.,married,secondary,unknown,5,may,92,2,unknown,no
275,59,retired,married,secondary,unknown,5,may,143,3,unknown,no
276,39,services,divorced,secondary,unknown,5,may,189,3,unknown,no
277,49,services,married,secondary,unknown,5,may,234,2,unknown,no
278,38,services,single,secondary,unknown,5,may,75,2,unknown,no
279,36,self-employed,married,tertiary,unknown,5,may,189,2,unknown,no
280,50,blue-collar,married,primary,unknown,5,may,621,3,unknown,no
281,41,admin.,married,secondary,unknown,5,may,55,2,unknown,no
282,54,technician,married,tertiary,unknown,5,may,310,4,unknown,no
283,58,blue-collar,married,primary,unknown,5,may,156,2,unknown,no
284,30,blue-collar,single,secondary,unknown,5,may,5,2,unknown,no
285,33,admin.,single,secondary,unknown,5,may,225,2,unknown,no
286,47,admin.,married,secondary,unknown,5,may,125,2,unknown,no
287,50,technician,single,tertiary,unknown,5,may,2,3,unknown,no
288,32,blue-collar,married,secondary,unknown,5,may,286,2,unknown,no
289,40,self-employed,married,secondary,unknown,5,may,164,2,unknown,no
290,37,management,married,tertiary,unknown,5,may,98,2,unknown,no
291,54,technician,single,secondary,unknown,5,may,643,2,unknown,no
292,24,student,single,secondary,unknown,5,may,226,3,unknown,no
293,54,management,married,tertiary,unknown,5,may,120,2,unknown,no
294,34,technician,married,secondary,unknown,5,may,362,4,unknown,no
295,56,technician,divorced,primary,unknown,5,may,357,2,unknown,no
296,31,blue-collar,single,secondary,unknown,5,may,200,2,unknown,no
297,24,student,single,secondary,unknown,5,may,204,2,unknown,no
298,42,blue-collar,divorced,primary,unknown,5,may,126,3,unknown,no
299,57,technician,married,secondary,unknown,5,may,65,2,unknown,no
300,42,blue-collar,married,secondary,unknown,5,may,107,2,unknown,no
301,51,admin.,married,secondary,unknown,5,may,267,2,unknown,no
302,57,retired,married,secondary,unknown,5,may,248,2,unknown,no
303,36,services,single,secondary,unknown,5,may,215,2,unknown,no
304,53,services,married,secondary,unknown,5,may,209,2,unknown,no
305,50,technician,married,secondary,unknown,5,may,205,2,unknown,no
306,54,management,married,tertiary,unknown,5,may,83,2,unknown,no
307,55,blue-collar,married,secondary,unknown,5,may,106,3,unknown,no
308,44,blue-collar,married,secondary,unknown,5,may,189,2,unknown,no
309,43,management,married,secondary,unknown,5,may,105,2,unknown,no
310,56,admin.,married,secondary,unknown,5,may,106,2,unknown,no
311,54,technician,married,secondary,unknown,5,may,108,2,unknown,no
312,55,services,divorced,primary,unknown,5,may,311,2,unknown,no
313,37,services,divorced,secondary,unknown,5,may,214,2,unknown,no
314,33,admin.,single,tertiary,unknown,5,may,132,2,unknown,no
315,46,admin.,married,secondary,unknown,5,may,358,2,unknown,no
316,36,blue-collar,married,secondary,unknown,5,may,453,2,unknown,no
317,51,technician,single,secondary,unknown,5,may,364,2,unknown,no
318,40,retired,single,primary,unknown,5,may,136,2,unknown,no
319,42,blue-collar,married,secondary,unknown,5,may,386,2,unknown,no
320,51,blue-collar,married,secondary,unknown,5,may,173,2,unknown,no
321,49,blue-collar,married,secondary,unknown,5,may,241,2,unknown,no
322,48,management,married,secondary,unknown,5,may,224,3,unknown,no
323,32,technician,divorced,tertiary,unknown,5,may,148,2,unknown,no
324,31,admin.,single,secondary,unknown,5,may,196,2,unknown,no
325,55,management,single,tertiary,unknown,5,may,111,4,unknown,no
326,40,blue-collar,single,secondary,unknown,5,may,231,3,unknown,no
327,47,technician,married,tertiary,unknown,5,may,316,3,unknown,no
328,57,technician,married,secondary,unknown,5,may,216,3,unknown,no
329,41,blue-collar,married,secondary,unknown,5,may,240,2,unknown,no
330,48,blue-collar,married,secondary,unknown,5,may,643,3,unknown,no
331,42,blue-collar,married,secondary,unknown,5,may,425,2,unknown,no
332,30,blue-collar,single,secondary,unknown,5,may,143,2,unknown,no
333,58,management,single,tertiary,unknown,5,may,174,5,unknown,no
334,45,management,divorced,tertiary,unknown,5,may,313,3,unknown,no
335,49,blue-collar,married,secondary,unknown,5,may,135,4,unknown,no
336,42,admin.,single,secondary,unknown,5,may,146,2,unknown,no
337,53,technician,married,secondary,unknown,5,may,152,2,unknown,no
338,51,admin.,single,secondary,unknown,5,may,402,3,unknown,no
339,32,services,single,secondary,unknown,5,may,213,2,unknown,no
340,41,blue-collar,single,secondary,unknown,5,may,144,3,unknown,no
341,43,management,divorced,secondary,unknown,5,may,124,3,unknown,no
342,40,blue-collar,divorced,secondary,unknown,5,may,183,2,unknown,no
343,50,blue-collar,married,primary,unknown,5,may,325,2,unknown,no
344,34,management,married,tertiary,unknown,5,may,39,4,unknown,no
345,53,services,married,secondary,unknown,5,may,503,2,unknown,no
346,45,technician,married,secondary,unknown,5,may,95,4,unknown,no
347,39,blue-collar,married,primary,unknown,5,may,643,2,unknown,no
348,44,services,married,tertiary,unknown,5,may,421,4,unknown,no
349,55,management,married,tertiary,unknown,5,may,174,3,unknown,no
350,46,management,single,tertiary,unknown,5,may,113,2,unknown,no
351,45,blue-collar,married,secondary,unknown,5,may,643,2,unknown,no
352,34,admin.,married,secondary,unknown,5,may,198,3,unknown,no
353,36,blue-collar,married,secondary,unknown,5,may,195,2,unknown,no
354,59,blue-collar,divorced,secondary,unknown,5,may,347,3,unknown,no
355,31,admin.,single,secondary,unknown,5,may,208,2,unknown,no
356,44,blue-collar,single,secondary,unknown,5,may,404,4,unknown,no
357,33,entrepreneur,single,tertiary,unknown,5,may,396,2,unknown,no
358,40,blue-collar,married,secondary,unknown,5,may,216,4,unknown,no
359,46,admin.,single,tertiary,unknown,5,may,98,2,unknown,no
360,48,management,married,tertiary,unknown,5,may,350,2,unknown,no
361,42,services,married,secondary,unknown,6,may,114,2,unknown,no
362,27,services,married,secondary,unknown,6,may,88,3,unknown,no
363,48,admin.,married,secondary,unknown,6,may,379,2,unknown,no
364,59,admin.,married,secondary,unknown,6,may,190,3,unknown,no
365,46,technician,married,tertiary,unknown,6,may,158,1,unknown,no
366,38,admin.,divorced,secondary,unknown,6,may,102,1,unknown,no
367,43,management,divorced,tertiary,unknown,6,may,306,1,unknown,no
368,38,admin.,divorced,tertiary,unknown,6,may,218,1,unknown,no
369,23,student,single,secondary,unknown,6,may,54,1,unknown,no
370,34,services,married,secondary,unknown,6,may,344,1,unknown,no
371,38,admin.,married,secondary,unknown,6,may,195,1,unknown,no
372,37,blue-collar,married,secondary,unknown,6,may,643,1,unknown,no
373,25,admin.,single,secondary,unknown,6,may,286,1,unknown,no
374,48,blue-collar,married,secondary,unknown,6,may,189,1,unknown,no
375,49,blue-collar,single,secondary,unknown,6,may,83,1,unknown,no
376,38,admin.,single,secondary,unknown,6,may,184,2,unknown,no
377,43,blue-collar,married,primary,unknown,6,may,235,1,unknown,no
378,33,management,married,tertiary,unknown,6,may,290,1,unknown,no
379,55,blue-collar,married,secondary,unknown,6,may,232,1,unknown,no
380,38,blue-collar,married,secondary,unknown,6,may,133,1,unknown,no
381,49,services,married,secondary,unknown,6,may,318,1,unknown,no
382,40,management,married,secondary,unknown,6,may,260,3,unknown,no
383,43,admin.,married,secondary,unknown,6,may,437,1,unknown,no
384,38,blue-collar,married,secondary,unknown,6,may,402,1,unknown,no
385,58,services,married,secondary,unknown,6,may,85,1,unknown,no
386,57,technician,married,secondary,unknown,6,may,125,1,unknown,no
387,32,unemployed,married,secondary,unknown,6,may,501,4,unknown,no
388,56,management,married,tertiary,unknown,6,may,643,1,unknown,yes
389,58,blue-collar,divorced,secondary,unknown,6,may,253,1,unknown,no
390,60,retired,divorced,secondary,unknown,6,may,643,1,unknown,yes
391,37,technician,married,tertiary,unknown,6,may,149,1,unknown,no
392,46,technician,divorced,tertiary,unknown,6,may,114,1,unknown,no
393,27,admin.,married,secondary,unknown,6,may,243,1,unknown,no
394,43,blue-collar,married,secondary,unknown,6,may,643,2,unknown,no
395,32,technician,single,secondary,unknown,6,may,135,3,unknown,no
396,40,admin.,single,secondary,unknown,6,may,231,1,unknown,no
397,38,admin.,married,secondary,unknown,6,may,76,1,unknown,no
398,34,blue-collar,married,secondary,unknown,6,may,199,1,unknown,no
399,47,blue-collar,married,primary,unknown,6,may,152,1,unknown,no
400,42,housemaid,married,primary,unknown,6,may,124,1,unknown,no
401,48,technician,married,secondary,unknown,6,may,424,1,unknown,no
402,29,self-employed,single,tertiary,unknown,6,may,43,1,unknown,no
403,50,services,married,secondary,unknown,6,may,154,1,unknown,no
404,52,technician,married,secondary,unknown,6,may,203,2,unknown,no
405,50,management,married,tertiary,unknown,6,may,326,1,unknown,no
406,58,retired,married,tertiary,unknown,6,may,393,1,unknown,no
407,46,blue-collar,divorced,primary,unknown,6,may,241,3,unknown,no
408,38,technician,married,secondary,unknown,6,may,483,1,unknown,no
409,46,blue-collar,married,secondary,unknown,6,may,259,1,unknown,no
410,32,services,single,secondary,unknown,6,may,227,1,unknown,no
411,51,blue-collar,married,primary,unknown,6,may,643,1,unknown,no
412,39,admin.,single,secondary,unknown,6,may,576,1,unknown,no
413,48,admin.,married,secondary,unknown,6,may,180,2,unknown,no
414,36,entrepreneur,married,tertiary,unknown,6,may,168,2,unknown,no
415,34,admin.,divorced,secondary,unknown,6,may,90,1,unknown,no
416,40,technician,married,secondary,unknown,6,may,505,1,unknown,no
417,43,unemployed,married,secondary,unknown,6,may,245,1,unknown,no
418,52,blue-collar,divorced,primary,unknown,6,may,186,1,unknown,no
419,33,technician,married,secondary,unknown,6,may,623,1,unknown,no
420,49,management,single,tertiary,unknown,6,may,496,3,unknown,no
421,32,management,single,tertiary,unknown,6,may,118,1,unknown,no
422,39,admin.,single,secondary,unknown,6,may,342,1,unknown,no
423,40,blue-collar,married,secondary,unknown,6,may,225,1,unknown,no
424,38,technician,single,tertiary,unknown,6,may,185,3,unknown,no
425,43,management,married,secondary,unknown,6,may,196,2,unknown,no
426,39,services,married,secondary,unknown,6,may,276,1,unknown,no
427,54,blue-collar,married,primary,unknown,6,may,76,1,unknown,no
428,38,technician,single,tertiary,unknown,6,may,87,1,unknown,no
429,40,blue-collar,married,secondary,unknown,6,may,195,1,unknown,no
430,55,admin.,married,secondary,unknown,6,may,643,1,unknown,no
